"date","label","label_date","label_month","label_year","adjdividend","dividend","recorddate","paymentdate","declarationdate"
"2014-05-08","May 08, 14",8,5,2014,0.1175,3.29,"2014-05-11","2014-05-14","2014-04-23"
"2014-02-06","February 06, 14",6,2,2014,0.108929,3.05,"2014-02-09","2014-02-12","2014-01-27"
"2013-11-06","November 06, 13",6,11,2013,0.108929,3.05,"2013-11-09","2013-11-12","2013-10-28"
"2013-08-08","August 08, 13",8,8,2013,0.108929,3.05,"2013-08-11","2013-08-14","2013-07-23"
"2013-05-09","May 09, 13",9,5,2013,0.108929,3.05,"2013-05-12","2013-05-15","2013-04-23"
"2013-02-07","February 07, 13",7,2,2013,0.094643,2.65,"2013-02-10","2013-02-13","2013-01-23"
"2012-11-07","November 07, 12",7,11,2012,0.094643,2.65,"2012-11-10","2012-11-13","2012-10-25"
"2012-08-09","August 09, 12",9,8,2012,0.094643,2.65,"2012-08-12","2012-08-15","2012-03-19"
"1995-11-20","November 20, 95",20,11,1995,0.001071427,0.12,"1995-11-23","1995-11-26","1995-10-09"
"1995-08-16","August 16, 95",16,8,1995,0.001071,0.12,"1995-08-19","1995-08-22","1995-07-20"
"1995-05-29","May 29, 95",29,5,1995,0.001071427,0.12,"1995-06-01","1995-06-04","1995-05-02"
"1995-02-14","February 14, 95",14,2,1995,0.001071427,0.12,"1995-02-17","1995-02-20","1995-02-14"
"1994-11-21","November 21, 94",21,11,1994,0.001071427,0.12,"1994-11-24","1994-11-27","1994-11-21"
"1994-08-16","August 16, 94",16,8,1994,0.001071427,0.12,"1994-08-19","1994-08-22","1994-08-16"
"1994-05-30","May 30, 94",30,5,1994,0.001071427,0.12,"1994-06-02","1994-06-05","1994-05-30"
"1994-02-08","February 08, 94",8,2,1994,0.001071427,0.12,"1994-02-11","1994-02-14","1994-02-02"
"1993-11-22","November 22, 93",22,11,1993,0.001071427,0.12,"1993-11-25","1993-11-28","1993-11-22"
"1993-08-17","August 17, 93",17,8,1993,0.001071427,0.12,"1993-08-20","1993-08-23","1993-08-17"
"1993-06-01","June 01, 93",1,6,1993,0.001071427,0.12,"1993-06-04","1993-06-07","1993-06-01"
"1993-02-16","February 16, 93",16,2,1993,0.001071427,0.12,"1993-02-19","1993-02-22","1993-02-16"
"1992-11-30","November 30, 92",30,11,1992,0.001071,0.12,"1992-12-03","1992-12-06","1992-11-23"
"1992-08-17","August 17, 92",17,8,1992,0.001071,0.12,"1992-08-20","1992-08-23","1992-08-17"
"1992-02-14","February 14, 92",14,2,1992,0.001071,0.12,"1992-02-17","1992-02-20","1992-02-14"
"1991-11-18","November 18, 91",18,11,1991,0.001071,0.12,"1991-11-21","1991-11-24","1991-11-18"
"1991-08-19","August 19, 91",19,8,1991,0.001071,0.12,"1991-08-22","1991-08-25","1991-08-19"
"1991-05-20","May 20, 91",20,5,1991,0.001071,0.12,"1991-05-23","1991-05-26","1991-05-20"
"1991-02-19","February 19, 91",19,2,1991,0.001071427,0.12,"1991-02-22","1991-02-25","1991-02-19"
"1990-11-19","November 19, 90",19,11,1990,0.001071427,0.12,"1990-11-22","1990-11-25","1990-11-08"
"1990-08-21","August 21, 90",21,8,1990,0.0009821419,0.11,"1990-08-24","1990-08-27","1990-07-23"
"1990-05-22","May 22, 90",22,5,1990,0.0009821419,0.11,"1990-05-25","1990-05-28","1990-04-09"
"1990-02-19","February 19, 90",19,2,1990,0.0009821419,0.11,"1990-02-22","1990-02-25","1990-02-02"
